ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO;DISPÊNDIO
2000;ABR;GÁS NATURAL;IMPORTAÇÃO;131216,79;9577646,746
2000;AGO;GÁS NATURAL;IMPORTAÇÃO;239054,743;19376403,08
2000;DEZ;GÁS NATURAL;IMPORTAÇÃO;252528,739;21660455,62
2000;FEV;GÁS NATURAL;IMPORTAÇÃO;118705,42;9460134,94
2000;JAN;GÁS NATURAL;IMPORTAÇÃO;101942,422;8888167,644
2000;JUL;GÁS NATURAL;IMPORTAÇÃO;227445,586;19092473,04
2000;JUN;GÁS NATURAL;IMPORTAÇÃO;179610,682;15041016,39
2000;MAI;GÁS NATURAL;IMPORTAÇÃO;127845,372;9098820,469
2000;MAR;GÁS NATURAL;IMPORTAÇÃO;114386,085;10167003,45
2000;NOV;GÁS NATURAL;IMPORTAÇÃO;231264,7;20488274,33
2000;OUT;GÁS NATURAL;IMPORTAÇÃO;248428,218;21776353,18
2000;SET;GÁS NATURAL;IMPORTAÇÃO;238142,228;19374318,35
2001;ABR;GÁS NATURAL;IMPORTAÇÃO;299081,035;24773519,25
2001;AGO;GÁS NATURAL;IMPORTAÇÃO;433207,3637;33794713,34
2001;DEZ;GÁS NATURAL;IMPORTAÇÃO;456207,0509;34740757,94
2001;FEV;GÁS NATURAL;IMPORTAÇÃO;295165,794;25586039,31
2001;JAN;GÁS NATURAL;IMPORTAÇÃO;260970,136;23604046,28
2001;JUL;GÁS NATURAL;IMPORTAÇÃO;367506,4995;29854705,94
2001;JUN;GÁS NATURAL;IMPORTAÇÃO;332571,455;27193912,81
2001;MAI;GÁS NATURAL;IMPORTAÇÃO;398830,336;31328006,95
2001;MAR;GÁS NATURAL;IMPORTAÇÃO;344470,4542;29004739,23
2001;NOV;GÁS NATURAL;IMPORTAÇÃO;508543,5034;38030392,37
2001;OUT;GÁS NATURAL;IMPORTAÇÃO;506149,0661;36596274,62
2001;SET;GÁS NATURAL;IMPORTAÇÃO;400312,0519;30287881,57
2002;ABR;GÁS NATURAL;IMPORTAÇÃO;448923,3455;32404952,26
2002;AGO;GÁS NATURAL;IMPORTAÇÃO;457948,4385;38536902,63
2002;DEZ;GÁS NATURAL;IMPORTAÇÃO;397874,2739;37110812,98
2002;FEV;GÁS NATURAL;IMPORTAÇÃO;416982,7442;30142375,32
2002;JAN;GÁS NATURAL;IMPORTAÇÃO;459568,7269;33512362,88
2002;JUL;GÁS NATURAL;IMPORTAÇÃO;436346,5822;36806530,18
2002;JUN;GÁS NATURAL;IMPORTAÇÃO;418653,391;33483898,28
2002;MAI;GÁS NATURAL;IMPORTAÇÃO;440824,1917;34302876,61
2002;MAR;GÁS NATURAL;IMPORTAÇÃO;454350,4618;32267899,23
2002;NOV;GÁS NATURAL;IMPORTAÇÃO;410006,3825;37792397,38
2002;OUT;GÁS NATURAL;IMPORTAÇÃO;455297,2947;40222514,54
2002;SET;GÁS NATURAL;IMPORTAÇÃO;472497,6929;38307869,5
2003;ABR;GÁS NATURAL;IMPORTAÇÃO;441462,8715;46168762,69
2003;AGO;GÁS NATURAL;IMPORTAÇÃO;516932,1854;51064285,14
2003;DEZ;GÁS NATURAL;IMPORTAÇÃO;580809,0887;56794560,18
2003;FEV;GÁS NATURAL;IMPORTAÇÃO;381701,7811;35665374,3
2003;JAN;GÁS NATURAL;IMPORTAÇÃO;400341,5813;33929210,79
2003;JUL;GÁS NATURAL;IMPORTAÇÃO;510812,4718;51072788,3
2003;JUN;GÁS NATURAL;IMPORTAÇÃO;513839,8263;51745537,91
2003;MAI;GÁS NATURAL;IMPORTAÇÃO;462387,6258;49051082,83
2003;MAR;GÁS NATURAL;IMPORTAÇÃO;429947,3595;41377637,71
2003;NOV;GÁS NATURAL;IMPORTAÇÃO;621203,9214;59926468,78
2003;OUT;GÁS NATURAL;IMPORTAÇÃO;599014,5512;58114882,2
2003;SET;GÁS NATURAL;IMPORTAÇÃO;488405,6447;48592409,51
