ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2012;ABR;ETANOL ANIDRO;EXPORTAÇÃO;38397,357;29005781
2012;AGO;ETANOL ANIDRO;EXPORTAÇÃO;251088,364;179069921
2012;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;249441,64;163571473
2012;FEV;ETANOL ANIDRO;EXPORTAÇÃO;43042,93;36375709
2012;JAN;ETANOL ANIDRO;EXPORTAÇÃO;42469,904;38608035
2012;JUL;ETANOL ANIDRO;EXPORTAÇÃO;308233,731;235771947
2012;JUN;ETANOL ANIDRO;EXPORTAÇÃO;99541,339;76203056
2012;MAI;ETANOL ANIDRO;EXPORTAÇÃO;108380,272;84907064
2012;MAR;ETANOL ANIDRO;EXPORTAÇÃO;41385,079;37083572
2012;NOV;ETANOL ANIDRO;EXPORTAÇÃO;196117,715;139477497
2012;OUT;ETANOL ANIDRO;EXPORTAÇÃO;302154,379;223821597
2012;SET;ETANOL ANIDRO;EXPORTAÇÃO;265634,253;197987630
2012;ABR;ETANOL ANIDRO;IMPORTAÇÃO;104340,837;73275765
2012;AGO;ETANOL ANIDRO;IMPORTAÇÃO;45163,306;29035009
2012;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;4,562;36158
2012;FEV;ETANOL ANIDRO;IMPORTAÇÃO;137736,381;95486341
2012;JAN;ETANOL ANIDRO;IMPORTAÇÃO;144002,649;99415439
2012;JUL;ETANOL ANIDRO;IMPORTAÇÃO;26714,969;15469938
2012;JUN;ETANOL ANIDRO;IMPORTAÇÃO;7180,952;4425082
2012;MAI;ETANOL ANIDRO;IMPORTAÇÃO;39343,108;26835789
2012;MAR;ETANOL ANIDRO;IMPORTAÇÃO;48723,904;32776201
2012;NOV;ETANOL ANIDRO;IMPORTAÇÃO;10,764;76628
2012;OUT;ETANOL ANIDRO;IMPORTAÇÃO;4,317;51449
2012;SET;ETANOL ANIDRO;IMPORTAÇÃO;10,885;116075
2012;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;26110,145;18469051
2012;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;65235,388;45034988
2012;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;213683,449;127670809
2012;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;37701,75;31865994
2012;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;23240,019;17802653
2012;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;102502,628;69010411
2012;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;38463,751;30486373
2012;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;40838,313;28326925
2012;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;32544,915;22724331
2012;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;124139,351;76932750
2012;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;194938,064;126395985
2012;SET;ETANOL HIDRATADO;EXPORTAÇÃO;187096,731;133183809
2012;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;64,435;179240
2012;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;70,626;167042
2012;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;24,168;27691
2012;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;19,964;51772
2012;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;86,727;261499
2012;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;21,147;47534
2012;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;49,63;154329
2012;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;64,309;210257
2012;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;107,187;281914
2012;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;48,715;175898
2012;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;44,689;129953
2012;SET;ETANOL HIDRATADO;IMPORTAÇÃO;47,755;91908
2013;ABR;ETANOL ANIDRO;EXPORTAÇÃO;88805,513;62525047
2013;AGO;ETANOL ANIDRO;EXPORTAÇÃO;395400,674;256873919
2013;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;26419,238;16626585
2013;FEV;ETANOL ANIDRO;EXPORTAÇÃO;105296,423;74421816
2013;JAN;ETANOL ANIDRO;EXPORTAÇÃO;172720,79;117491306
2013;JUL;ETANOL ANIDRO;EXPORTAÇÃO;263072,798;166649965
2013;JUN;ETANOL ANIDRO;EXPORTAÇÃO;177448,5;125272415
2013;MAI;ETANOL ANIDRO;EXPORTAÇÃO;110496,327;77517534
2013;MAR;ETANOL ANIDRO;EXPORTAÇÃO;48088,45;33884514
2013;NOV;ETANOL ANIDRO;EXPORTAÇÃO;61481,147;40672512
2013;OUT;ETANOL ANIDRO;EXPORTAÇÃO;175591,833;109273664
2013;SET;ETANOL ANIDRO;EXPORTAÇÃO;181164,007;113662886
2013;ABR;ETANOL ANIDRO;IMPORTAÇÃO;14200,643;9664990
2013;AGO;ETANOL ANIDRO;IMPORTAÇÃO;0,651;8532
2013;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;8971,595;4552560
2013;FEV;ETANOL ANIDRO;IMPORTAÇÃO;8764,979;5755180
2013;JAN;ETANOL ANIDRO;IMPORTAÇÃO;14504,951;9543617
2013;JUL;ETANOL ANIDRO;IMPORTAÇÃO;10099,009;8694268
2013;JUN;ETANOL ANIDRO;IMPORTAÇÃO;15128,201;12060811
2013;MAI;ETANOL ANIDRO;IMPORTAÇÃO;5,883;30655
2013;MAR;ETANOL ANIDRO;IMPORTAÇÃO;59564,054;39799468
2013;NOV;ETANOL ANIDRO;IMPORTAÇÃO;18,505;41306
2013;OUT;ETANOL ANIDRO;IMPORTAÇÃO;0,766;4758
2013;SET;ETANOL ANIDRO;IMPORTAÇÃO;6,103;47651
2013;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;14490,489;9352508
2013;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;94403,433;57459830
2013;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;69596,688;41868958
2013;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;103192,127;62372945
2013;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;179411,21;112792476
2013;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;90358,921;56802975
2013;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;103236,547;63202079
2013;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;30662,71;16418738
2013;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;25823,789;16905926
2013;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;122145,833;73170699
2013;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;161414,721;95125205
2013;SET;ETANOL HIDRATADO;EXPORTAÇÃO;115838,513;68594765
2013;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;24,743;44494
2013;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;0,509;7034
2013;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;3,35;32738
2013;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;70,582;280186
2013;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;49,36;197923
2013;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;97,121;291655
2013;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;24,592;35349
2013;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;24,467;46724
