ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1997;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;325655
1997;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;330876
1997;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;346070
1997;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;323297
1997;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;309287
1997;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;320184
1997;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;327229
1997;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;327990
1997;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;322632
1997;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;283655
1997;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;304377
1997;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;355096
1997;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;323
1997;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;356
1997;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;552
1997;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;502
1997;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;478
1997;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;334
1997;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;347
1997;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;454
1997;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;376
1997;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;289
1997;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;360
1997;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;243
1997;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;55434
1997;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;57816
1997;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;59673
1997;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;57740
1997;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;54864
1997;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;60968
1997;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;48705
1997;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;51109
