ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1997;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2767443
1997;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2891003
1997;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2998305
1997;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2863184
1997;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2873644
1997;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2905804
1997;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;3026789
1997;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2932331
1997;SET;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2832661
1997;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2525463
1997;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;2749207
1997;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;MAR;3295932
1997;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3665
1997;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3627
1997;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3870
1997;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3867
1997;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;4431
1997;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3925
1997;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3840
1997;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3230
1997;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;2965
1997;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;3150
1997;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;2914
1997;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;MAR;2982
1997;JAN;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;20817
1997;FEV;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;21334
1997;MAR;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;22067
1997;ABR;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;21377
1997;MAI;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;19095
1997;JUN;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;22379
1997;JUL;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;17844
1997;AGO;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;17496
1997;SET;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;19929
1997;OUT;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;19037
1997;NOV;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;18932
1997;DEZ;REGIÃO SUDESTE;SÃO PAULO;PETRÓLEO;MAR;18462
1997;JAN;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;FEV;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;MAR;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;ABR;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;MAI;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;JUN;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;JUL;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;AGO;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;SET;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;OUT;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;NOV;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;DEZ;REGIÃO NORTE;AMAZONAS;PETRÓLEO;MAR;0
1997;JAN;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;67331
1997;FEV;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;65013
1997;MAR;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;64355
1997;ABR;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;61419
1997;MAI;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;56552
1997;JUN;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;47069
1997;JUL;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;29306
1997;AGO;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;32887
1997;SET;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;26862
1997;OUT;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;28161
1997;NOV;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;27850
1997;DEZ;REGIÃO SUL;PARANÁ;PETRÓLEO;MAR;55520
1997;JAN;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9802
1997;FEV;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9221
1997;MAR;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;10185
1997;ABR;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9961
1997;MAI;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9928
1997;JUN;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9064
1997;JUL;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9230
1997;AGO;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;8539
1997;SET;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;9021
1997;OUT;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;10081
1997;NOV;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;10268
1997;DEZ;REGIÃO NORDESTE;BAHIA;PETRÓLEO;MAR;11916
1997;JAN;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;54438
1997;FEV;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;58103
1997;MAR;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;61410
1997;ABR;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;57205
1997;MAI;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;52740
1997;JUN;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;57538
1997;JUL;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;58040
1997;AGO;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;59003
1997;SET;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;59425
1997;OUT;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;63802
1997;NOV;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;57530
1997;DEZ;REGIÃO NORDESTE;CEARÁ;PETRÓLEO;MAR;57764
1997;JAN;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;FEV;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;MAR;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;ABR;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;MAI;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;JUN;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;JUL;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;AGO;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;SET;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;OUT;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;NOV;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;DEZ;REGIÃO NORDESTE;MARANHÃO;PETRÓLEO;MAR;0
1997;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;40113
1997;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;41298
1997;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;41626
1997;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;41083
1997;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;45618
1997;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;41179
1997;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;42946
1997;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;41563
1997;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;39533
1997;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;33320
1997;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;34805
1997;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;MAR;40037
1997;JAN;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;33256
1997;FEV;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;34587
1997;MAR;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;33395
1997;ABR;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;32075
1997;MAI;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;36052
1997;JUN;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;34855
1997;JUL;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;35978
1997;AGO;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;34270
1997;SET;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;39655
1997;OUT;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;38630
1997;NOV;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;36395
1997;DEZ;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;MAR;38719
1997;JAN;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;1234
1997;FEV;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;1009
1997;MAR;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;0
1997;ABR;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;3070
1997;MAI;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2192
1997;JUN;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2700
1997;JUL;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2640
1997;AGO;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2680
1997;SET;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2610
1997;OUT;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;2485
1997;NOV;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;3456
1997;DEZ;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;MAR;3055
1997;JAN;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;123453
1997;FEV;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;124334
1997;MAR;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;127248
1997;ABR;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;121150
1997;MAI;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;123758
1997;JUN;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;122921
1997;JUL;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;126212
1997;AGO;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;126845
1997;SET;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;118348
1997;OUT;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;125735
1997;NOV;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;124150
1997;DEZ;REGIÃO NORDESTE;SERGIPE;PETRÓLEO;TERRA;128509
1997;JAN;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;15457
1997;FEV;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;16675
1997;MAR;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;16639
1997;ABR;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;16038
1997;MAI;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;18473
1997;JUN;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;18648
1997;JUL;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;20853
1997;AGO;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;22910
1997;SET;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;21891
1997;OUT;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;23448
1997;NOV;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;20620
1997;DEZ;REGIÃO NORDESTE;ALAGOAS;PETRÓLEO;TERRA;19888
1997;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;395223
1997;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;388457
1997;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;397430
1997;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;391698
1997;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;377218
1997;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;393579
1997;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;405379
1997;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;405148
1997;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;393668
1997;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;413071
1997;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;397992
1997;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETRÓLEO;TERRA;411871
1997;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;SET;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;PETRÓLEO;TERRA;0
1997;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;36567
1997;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;37889
1997;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;40964
1997;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;38294
1997;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;35840
1997;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;37239
1997;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;PETRÓLEO;TERRA;38021
